Title,Actors,Director,Genre,Year,Runtime
Minions,Sandra Bullock; Jon Hamm; Michael Keaton,Kyle Balda,Family; Animation; Adventure; Comedy,2015,91
Wonder Woman,Gal Gadot; Chris Pine; Robin Wright,Patty Jenkins,Action; Adventure; Fantasy,2017,141
Beauty and the Beast,Emma Watson; Dan Stevens; Luke Evans,Bill Condon,Family; Fantasy; Romance,2017,129
Baby Driver,Ansel Elgort; Lily James; Kevin Spacey,Edgar Wright,Action; Crime,2017,113
Big Hero 6,Scott Adsit; Ryan Potter; Daniel Henney,Chris Williams,Adventure; Family; Animation; Action; Comedy,2014,102
Deadpool,Ryan Reynolds; Morena Baccarin; Ed Skrein,Tim Miller,Action; Adventure; Comedy,2016,108
Guardians of the Galaxy Vol. 2,Chris Pratt; Zoe Saldana; Dave Bautista,James Gunn,Action; Adventure; Comedy; Science Fiction,2017,137
Avatar,Sam Worthington; Zoe Saldana; Sigourney Weaver,James Cameron,Action; Adventure; Fantasy; Science Fiction,2009,162
John Wick,Keanu Reeves; Michael Nyqvist; Alfie Allen,Chad Stahelski,Action; Thriller,2014,101
Gone Girl,Ben Affleck; Rosamund Pike; Carrie Coon,David Fincher,Mystery; Thriller; Drama,2014,145
The Hunger Games: Mockingjay - Part 1,Jennifer Lawrence; Josh Hutcherson; Liam Hemsworth,Francis Lawrence,Science Fiction; Adventure; Thriller,2014,123
War for the Planet of the Apes,Andy Serkis; Woody Harrelson; Steve Zahn,Matt Reeves,Drama; Science Fiction; War,2017,140
Captain America: Civil War,Chris Evans; Robert Downey Jr.; Scarlett Johansson,Anthony Russo,Adventure; Action; Science Fiction,2016,147
Pulp Fiction,John Travolta; Samuel L. Jackson; Uma Thurman,Quentin Tarantino,Thriller; Crime,1994,154
Pirates of the Caribbean: Dead Men Tell No Tales,Johnny Depp; Javier Bardem; Geoffrey Rush,Joachim Rønning,Adventure; Action; Fantasy; Comedy,2017,129
The Dark Knight,Christian Bale; Michael Caine; Heath Ledger,Christopher Nolan,Drama; Action; Crime; Thriller,2008,152
Blade Runner,Harrison Ford; Rutger Hauer; Sean Young,Ridley Scott,Science Fiction; Drama; Thriller,1982,117
The Avengers,Robert Downey Jr.; Chris Evans; Mark Ruffalo,Joss Whedon,Science Fiction; Action; Adventure,2012,143
Captain Underpants: The First Epic Movie,Kevin Hart; Ed Helms; Thomas Middleditch,David Soren,Action; Animation; Comedy; Family,2017,89
The Circle,Emma Watson; Tom Hanks; John Boyega,James Ponsoldt,Drama; Thriller; Science Fiction,2017,110
The Bad Batch,Suki Waterhouse; Jason Momoa; Jayda Fink,Ana Lily Amirpour,Thriller; Romance; Science Fiction,2017,119
The Maze Runner,Dylan O'Brien; Ki Hong Lee; Kaya Scodelario,Wes Ball,Action; Mystery; Science Fiction; Thriller,2014,113
Dawn of the Planet of the Apes,Andy Serkis; Jason Clarke; Gary Oldman,Matt Reeves,Science Fiction; Action; Drama; Thriller,2014,130
Alien: Covenant,Michael Fassbender; Katherine Waterston; Billy Crudup,Ridley Scott,Horror; Science Fiction; Thriller,2017,122
Ghost in the Shell,Scarlett Johansson; Michael Pitt; Pilou Asbæk,Rupert Sanders,Action; Science Fiction; Thriller,2017,107
Boyka: Undisputed IV,Scott Adkins; Teodora Duhovnikova; Alon Aboutboul,Todor Chapkanov,Thriller; Action; Crime,2016,87
Whiplash,Miles Teller; J.K. Simmons; Melissa Benoist,Damien Chazelle,Drama,2014,105
Fight Club,Edward Norton; Brad Pitt; Meat Loaf,David Fincher,Drama,1999,139
What Happened to Monday,Noomi Rapace; Marwan Kenzari; Christian Rubeck,Tommy Wirkola,Science Fiction; Thriller,2017,123
Wish Upon,Joey King; Ryan Phillippe; Sherilyn Fenn,John R. Leonetti,Fantasy; Horror; Thriller,2017,90
Thor: Ragnarok,Chris Hemsworth; Tom Hiddleston; Cate Blanchett,Taika Waititi,Action; Adventure; Fantasy; Science Fiction,2017,0
Logan,Hugh Jackman; Patrick Stewart; Dafne Keen,James Mangold,Action; Drama; Science Fiction,2017,137
Guardians of the Galaxy,Chris Pratt; Zoe Saldana; Dave Bautista,James Gunn,Action; Science Fiction; Adventure,2014,121
47 Meters Down,Claire Holt; Mandy Moore; Chris Johnson,Johannes Roberts,Drama; Thriller; Horror; Adventure,2017,89
The Shawshank Redemption,Tim Robbins; Morgan Freeman; Bob Gunton,Frank Darabont,Drama; Crime,1994,142
The Last King,Kristofer Hivju; Jakob Oftebro; Pål Sverre Hagen,Nils Gaup,Action; Adventure; Drama,2016,99
The Dark Tower,Idris Elba; Matthew McConaughey; Tom Taylor,Nikolaj Arcel,Action; Western; Science Fiction; Fantasy; Horror,2017,95
John Wick: Chapter 2,Keanu Reeves; Common; Laurence Fishburne,Chad Stahelski,Thriller; Action; Crime,2017,122
The Fate of the Furious,Vin Diesel; Jason Statham; Dwayne Johnson,F. Gary Gray,Action; Crime; Thriller,2017,136
Forrest Gump,Tom Hanks; Robin Wright; Gary Sinise,Robert Zemeckis,Comedy; Drama; Romance,1994,142
Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp; Geoffrey Rush; Orlando Bloom,Gore Verbinski,Adventure; Fantasy; Action,2003,143
Security,Antonio Banderas; Ben Kingsley; Liam McIntyre,Alain Desrochers,Action,2017,87
The Legend of Tarzan,Alexander Skarsgård; Margot Robbie; Christoph Waltz,David Yates,Action; Adventure,2016,109
King Arthur: Legend of the Sword,Charlie Hunnam; Astrid Bergès-Frisbey; Jude Law,Guy Ritchie,Action; Drama; Fantasy,2017,126
Doctor Strange,Benedict Cumberbatch; Chiwetel Ejiofor; Rachel McAdams,Scott Derrickson,Action; Adventure; Fantasy; Science Fiction,2016,115
Suicide Squad,Will Smith; Margot Robbie; Joel Kinnaman,David Ayer,Action; Adventure; Crime; Fantasy; Science Fiction,2016,123
Star Wars,Mark Hamill; Harrison Ford; Carrie Fisher,George Lucas,Adventure; Action; Science Fiction,1977,121
Ted 2,Mark Wahlberg; Seth MacFarlane; Amanda Seyfried,Seth MacFarlane,Comedy,2015,115
Schindler's List,Liam Neeson; Ben Kingsley; Ralph Fiennes,Steven Spielberg,Drama; History; War,1993,195
Rise of the Planet of the Apes,James Franco; Freida Pinto; John Lithgow,Rupert Wyatt,Thriller; Action; Drama; Science Fiction,2011,105
Maze Runner: The Scorch Trials,Dylan O'Brien; Kaya Scodelario; Thomas Brodie-Sangster,Wes Ball,Action,2015,132
The Godfather,Marlon Brando; Al Pacino; James Caan,Francis Ford Coppola,Drama; Crime,1972,175
Fantastic Beasts and Where to Find Them,Eddie Redmayne; Colin Farrell; Katherine Waterston,David Yates,Adventure; Family; Fantasy,2016,133
Spirited Away,Rumi Hiiragi; Miyu Irino; Mari Natsuki,Hayao Miyazaki,Fantasy; Adventure; Animation; Family,2001,125
Wind River,Jeremy Renner; Elizabeth Olsen; Gil Birmingham,Taylor Sheridan,Action; Crime; Mystery; Thriller,2017,111
Now You See Me 2,Jesse Eisenberg; Woody Harrelson; Mark Ruffalo,Jon M. Chu,Action; Adventure; Comedy; Crime; Mystery; Thriller,2016,129
Life Is Beautiful,Nicoletta Braschi; Roberto Benigni; Giorgio Cantarini,Roberto Benigni,Comedy; Drama,1997,116
Transformers: The Last Knight,Mark Wahlberg; Josh Duhamel; Laura Haddock,Michael Bay,Action; Science Fiction; Thriller; Adventure,2017,149
Before I Fall,Zoey Deutch; Halston Sage; Logan Miller,Ry Russo-Young,Mystery; Drama; Thriller,2017,98
Harry Potter and the Philosopher's Stone,Daniel Radcliffe; Rupert Grint; Emma Watson,Chris Columbus,Adventure; Fantasy; Family,2001,152
Girls Trip,Regina Hall; Queen Latifah; Jada Pinkett Smith,Malcolm D. Lee,Comedy,2017,122
2:22,Michiel Huisman; Teresa Palmer; Sam Reid,Paul Currie,Drama; Thriller,2017,99
Avengers: Age of Ultron,Robert Downey Jr.; Chris Hemsworth; Mark Ruffalo,Joss Whedon,Action; Adventure; Science Fiction,2015,141
Get Out,Daniel Kaluuya; Allison Williams; Bradley Whitford,Jordan Peele,Mystery; Thriller; Horror,2017,104
Psycho,Anthony Perkins; Vera Miles; John Gavin,Alfred Hitchcock,Drama; Horror; Thriller,1960,109
Fury,Brad Pitt; Shia LaBeouf; Logan Lerman,David Ayer,War; Drama; Action,2014,135
Despicable Me 3,Steve Carell; Kristen Wiig; Trey Parker,Kyle Balda,Action; Animation; Adventure; Family; Comedy,2017,96
The Godfather: Part II,Al Pacino; Robert Duvall; Diane Keaton,Francis Ford Coppola,Drama; Crime,1974,200
Rogue One: A Star Wars Story,Felicity Jones; Diego Luna; Ben Mendelsohn,Gareth Edwards,Action; Adventure; Science Fiction,2016,133
Lucy,Scarlett Johansson; Morgan Freeman; Choi Min-sik,Luc Besson,Action; Science Fiction,2014,89
Life,Jake Gyllenhaal; Rebecca Ferguson; Ryan Reynolds,Daniel Espinosa,Horror; Science Fiction; Thriller,2017,103
Miss Peregrine's Home for Peculiar Children,Eva Green; Asa Butterfield; Samuel L. Jackson,Tim Burton,Drama; Fantasy; Adventure,2016,127
The Beguiled,Colin Farrell; Nicole Kidman; Kirsten Dunst,Sofia Coppola,Drama; Western,2017,93
Operation Mekong,Zhang Hanyu; Eddie Peng; Feng Wenjuan,Dante Lam,Action; Adventure,2016,140
Baywatch,Dwayne Johnson; Zac Efron; Alexandra Daddario,Seth Gordon,Action; Comedy,2017,116
One Flew Over the Cuckoo's Nest,Jack Nicholson; Louise Fletcher; Danny DeVito,Miloš Forman,Drama,1975,133
Thor: The Dark World,Chris Hemsworth; Natalie Portman; Tom Hiddleston,Alan Taylor,Action; Adventure; Fantasy,2013,112
A Silent Voice,Miyu Irino; Saori Hayami; Aoi Yuki,Naoko Yamada,Animation; Drama,2016,130
Your Name.,Ryunosuke Kamiki; Mone Kamishiraishi; Masami Nagasawa,Makoto Shinkai,Romance; Animation; Drama,2016,106
Dilwale Dulhania Le Jayenge,Shah Rukh Khan; Kajol; Amrish Puri,Aditya Chopra,Comedy; Drama; Romance,1995,190
Me Before You,Emilia Clarke; Sam Claflin; Janet McTeer,Thea Sharrock,Drama; Romance,2016,110
The Mother of Tears,Asia Argento; Cristian Solimeno; Adam James,Dario Argento,Horror,2007,102
The Twilight Saga: Eclipse,Kristen Stewart; Robert Pattinson; Taylor Lautner,David Slade,Adventure; Fantasy; Drama; Romance,2010,124
Pacific Rim,Idris Elba; Charlie Hunnam; Charlie Day,Guillermo del Toro,Action; Science Fiction; Adventure,2013,131
The Mummy,Tom Cruise; Russell Crowe; Annabelle Wallis,Alex Kurtzman,Thriller; Action; Adventure,2017,110
The Emoji Movie,T.J. Miller; James Corden; Anna Faris,Anthony Leondis,Comedy; Family; Animation,2017,86
Rescue Under Fire,Ariadna Gil; Roberto Álamo; Antonio Garrido,Adolfo Martínez Pérez,War,2017,93
Creed,Michael B. Jordan; Sylvester Stallone; Graham McTavish,Ryan Coogler,Drama,2015,133
The Matrix,Keanu Reeves; Laurence Fishburne; Carrie-Anne Moss,Lana Wachowski,Action; Science Fiction,1999,136
Fifty Shades of Grey,Dakota Johnson; Jamie Dornan; Jennifer Ehle,Sam Taylor-Johnson,Drama; Romance; Thriller,2015,125
Jurassic World,Chris Pratt; Bryce Dallas Howard; Irrfan Khan,Colin Trevorrow,Action; Adventure; Science Fiction; Thriller,2015,124
